id_turma,descricao_horario,id_componente_curricular,id_docente_interno,id_docente_externo,nivel_ensino,ano,periodo,noite34,noite12,tarde56,tarde34,tarde12,manha56,manha34,manha12,sabado,aulas,alunos,media_faltas,media_alunos,APROVADO,APROVADO POR NOTA,REPROVADO POR MÃDIA E POR FALTAS,REPROVADO,CANCELADO,TRANCADO,REPROVADO POR NOTA,REPROVADO POR FALTAS,REPROVADO POR NOTA E FALTA,CUMPRIU,DESISTENCIA,TRANSFERIDO
1229681,246T56,25694,17391.0,,GRADUAÇÃO,2014,2,False,False,True,False,False,False,False,False,False,116,15,0.0,2.6181818181818177,0.09090909090909091,0.2727272727272727,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244914,"5T2345 (05/02/2015 - 26/03/2015),  35T23456 (09/04/2015 - 05/05/2015),  35T23456 (12/05/2015 - 02/06/2015)",55159,21589.0,,GRADUAÇÃO,2015,1,False,False,True,True,True,False,False,False,False,116,19,0.052681992337177776,7.849999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217442,246T34,24326,25146.0,,GRADUAÇÃO,2014,1,False,False,False,True,False,False,False,False,False,98,37,0.07993197278911664,7.477777777777779,0.7777777777777778,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57589504,5T4 6T134 (25/07/2016 - 10/12/2016),57935,5753083.0,,GRADUAÇÃO,2016,2,False,False,False,True,True,False,False,False,False,77,13,0.0,6.721428571428571,0.7857142857142857,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57599583,35T12,26399,5759183.0,,GRADUAÇÃO,2017,1,False,False,False,False,True,False,False,False,False,70,32,0.32714285714297997,6.089999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1242051,35N12,41688,5752665.0,,GRADUAÇÃO,2015,1,False,True,False,False,False,False,False,False,False,72,22,0.10732323232321365,6.881818181818182,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57564687,35M12,54285,5752385.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,False,True,False,76,52,0.11042311661503922,7.456862745098042,0.7843137254901961,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1233915,7M234  6T5634 (21/07/2014 - 06/12/2014),51672,23108.0,,GRADUAÇÃO,2014,2,False,False,True,True,False,False,True,True,True,126,5,0.0,8.139999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57596518,2M2345,21872,5759130.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,True,True,False,72,6,0.0,7.066666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239347,234M12 (02/02/2015 - 20/06/2015),54312,5754351.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,False,True,False,112,7,0.09056122448977143,8.571428571428571,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57585491,45T12,46950,5753590.0,,GRADUAÇÃO,2016,2,False,False,False,False,True,False,False,False,False,70,4,0.0,9.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1223084,2345M34 (13/03/2014 - 15/04/2014),54279,25942.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,False,True,False,False,44,8,0.0584415584416,7.2,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239672,3T12 5T123,25854,26270.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,82,8,0.0,6.744444444444444,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230600,35N34,26957,5752675.0,,GRADUAÇÃO,2014,2,True,False,False,False,False,False,False,False,False,78,30,0.17603550295849615,6.86923076923077,0.6153846153846154,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0
57587796,26N12 3N234 5N23 (25/07/2016 - 17/12/2016),2049518,5752195.0,,GRADUAÇÃO,2016,2,True,True,False,False,False,False,False,False,False,159,13,0.05370101596526154,7.207692307692308,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57589941,5M1234,43038,5758207.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,True,True,False,76,20,0.0,6.089473684210526,0.5263157894736842,0.2631578947368421,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57599597,46M34 (13/02/2017 - 01/07/2017),63256,5757593.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,False,True,False,False,74,2,0.099099099099,6.833333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57576463,35M34,41689,5752998.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,False,False,72,13,0.15909090909083637,6.300000000000001,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
